subject,condition,roc_auc_csp,roc_auc_riemann,paired_difference_csp_minus_riemann
43,region_midline_motor_strip,0.89,0.8800000000000001,0.009999999999999898
43,region_left_motor_strip,0.8,0.7,0.10000000000000009
43,region_right_motor_strip,0.6799999999999999,0.78,-0.10000000000000009
44,dropout_0.1,0.5529999999999999,0.638,-0.08500000000000008
44,dropout_0.2,0.565,0.638,-0.07300000000000006
44,dropout_0.3,0.55,0.632,-0.08199999999999996
44,dropout_0.5,0.539,0.633,-0.09399999999999997
44,clean,0.57,0.67,-0.10000000000000009
44,motor_core,0.71,0.7,0.010000000000000009
44,motor_extended,0.69,0.78,-0.09000000000000008
44,region_midline_motor_strip,0.54,0.66,-0.12
44,region_left_motor_strip,0.57,0.65,-0.08000000000000007
44,region_right_motor_strip,0.56,0.6599999999999999,-0.09999999999999987
45,dropout_0.1,0.4825,0.456,0.026499999999999968
45,dropout_0.2,0.482,0.469,0.013000000000000012
45,dropout_0.3,0.4539999999999999,0.479,-0.025000000000000078
45,dropout_0.5,0.4569999999999999,0.4529999999999999,0.0040000000000000036
45,clean,0.5700000000000001,0.48,0.09000000000000008
45,motor_core,0.51,0.43,0.08000000000000002
45,motor_extended,0.63,0.62,0.010000000000000009
45,region_midline_motor_strip,0.58,0.47,0.10999999999999999
45,region_left_motor_strip,0.44,0.42,0.020000000000000018
45,region_right_motor_strip,0.62,0.4899999999999999,0.13000000000000012
46,dropout_0.1,0.5655,0.428,0.1375
46,dropout_0.2,0.516,0.414,0.10200000000000004
46,dropout_0.3,0.4885,0.39,0.09849999999999998
46,dropout_0.5,0.487,0.4639999999999999,0.023000000000000076
46,clean,0.71,0.48,0.22999999999999998
46,motor_core,0.66,0.6799999999999999,-0.019999999999999907
46,motor_extended,0.71,0.8099999999999999,-0.09999999999999998
46,region_midline_motor_strip,0.7,0.3899999999999999,0.31000000000000005
46,region_left_motor_strip,0.48,0.32,0.15999999999999998
46,region_right_motor_strip,0.64,0.4399999999999999,0.20000000000000012
47,dropout_0.1,0.655,0.603,0.052000000000000046
47,dropout_0.2,0.644,0.619,0.025000000000000022
47,dropout_0.3,0.6579999999999999,0.622,0.03599999999999992
47,dropout_0.5,0.65,0.644,0.006000000000000005
47,clean,0.6900000000000001,0.58,0.1100000000000001
47,motor_core,0.58,0.67,-0.09000000000000008
47,motor_extended,0.4399999999999999,0.5900000000000001,-0.1500000000000002
47,region_midline_motor_strip,0.66,0.6199999999999999,0.04000000000000015
47,region_left_motor_strip,0.67,0.64,0.030000000000000027
