dataset,subject,pipeline,stressor,montage,dropout_fraction,region,session_train,session_test,roc_auc,balanced_accuracy,brier_score,ece,n_channels,n_dropped_channels
BNCI2014-001,8,riemann_lr,channel_dropout,all_channels,0.2,,,,0.9728401562765415,0.6181403940886699,0.32211977050220647,0.3715796248634895,22,4.0
BNCI2014-001,8,riemann_lr,channel_dropout,all_channels,0.3,,,,0.9555826397146254,0.5908374384236453,0.33843394160948803,0.386301533026556,22,7.0
BNCI2014-001,8,riemann_lr,channel_dropout,all_channels,0.5,,,,0.926692712756922,0.5519704433497536,0.35998391334299834,0.39357390895469746,22,11.0
BNCI2014-001,8,riemann_lr,clean,all_channels,0.0,,,,0.9963733650416172,0.9721674876847292,0.030093247078708335,0.08322793557998555,22,0.0
BNCI2014-001,8,riemann_lr,cross_session,all_channels,0.0,,0train,1test,0.9971064814814815,0.9722222222222223,0.03851612541655292,0.11533900358063992,22,0.0
BNCI2014-001,8,riemann_lr,reduced_montage,motor_core,0.0,,,,0.9421097333106845,0.8719211822660098,0.11226355172828842,0.14661468878629158,3,0.0
BNCI2014-001,8,riemann_lr,reduced_montage,motor_extended,0.0,,,,0.9882198063529811,0.9408866995073891,0.04311975689490236,0.10068267694823736,9,0.0
BNCI2014-001,8,riemann_lr,region_dropout,all_channels,0.13636363636363635,midline_motor_strip,,,0.9927891965347376,0.8652709359605911,0.09714785850250154,0.18735012637030207,22,3.0
BNCI2014-001,8,riemann_lr,region_dropout,all_channels,0.3181818181818182,left_motor_strip,,,0.8882792593850859,0.5,0.4999816002158755,0.4999901200276636,22,7.0
BNCI2014-001,8,riemann_lr,region_dropout,all_channels,0.3181818181818182,right_motor_strip,,,0.8837268557839307,0.5,0.49975581813808245,0.49986842454717895,22,7.0
BNCI2014-001,9,riemann_lr,channel_dropout,all_channels,0.1,,,,0.9027535247154748,0.6305541871921182,0.2933151513699877,0.32039041280449987,22,2.0
BNCI2014-001,9,riemann_lr,channel_dropout,all_channels,0.2,,,,0.8724749447936131,0.5504679802955664,0.3803906675026256,0.39626701551670807,22,4.0
BNCI2014-001,9,riemann_lr,channel_dropout,all_channels,0.3,,,,0.8245048411754713,0.5355295566502464,0.38564105207223465,0.38711205273409355,22,7.0
BNCI2014-001,9,riemann_lr,channel_dropout,all_channels,0.5,,,,0.7804272125021234,0.5457758620689656,0.3661702396031699,0.3629932903827633,22,11.0
BNCI2014-001,9,riemann_lr,clean,all_channels,0.0,,,,0.918872091048072,0.8576354679802956,0.10716952183095818,0.09519616860710542,22,0.0
BNCI2014-001,9,riemann_lr,cross_session,all_channels,0.0,,0train,1test,0.9309413580246914,0.8541666666666667,0.11459849582319073,0.09166522061593706,22,0.0
BNCI2014-001,9,riemann_lr,reduced_montage,motor_core,0.0,,,,0.8876932223543401,0.7879310344827586,0.13880883557424267,0.12242584899562266,3,0.0
BNCI2014-001,9,riemann_lr,reduced_montage,motor_extended,0.0,,,,0.9037285544419909,0.8225369458128078,0.12620397816624224,0.10190699437027113,9,0.0
BNCI2014-001,9,riemann_lr,region_dropout,all_channels,0.13636363636363635,midline_motor_strip,,,0.9158994394428401,0.7334975369458128,0.1891654642124177,0.21610963143121253,22,3.0
BNCI2014-001,9,riemann_lr,region_dropout,all_channels,0.3181818181818182,left_motor_strip,,,0.9246984881943264,0.496551724137931,0.4605157030389847,0.47718831927054406,22,7.0
BNCI2014-001,9,riemann_lr,region_dropout,all_channels,0.3181818181818182,right_motor_strip,,,0.5428061831153389,0.5,0.46413603832165135,0.4596869121141302,22,7.0
