dataset,subject,pipeline,stressor,montage,fold,dropout_fraction,repeat,n_channels,n_dropped_channels,balanced_accuracy,roc_auc,brier_score,ece,protocol_version,mask_seed_scope,selected_channels,region,dropped_channels,session_train,session_test,run_signature
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,2,0.2,0,22,4,0.5,0.8620689655172413,0.49952698421265374,0.49972422176083664,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,2,0.2,1,22,4,0.5689655172413793,0.8858501783590962,0.26704504047461003,0.29947711601717847,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,2,0.2,2,22,4,0.5,0.8763376932223543,0.4790398819048563,0.4874914404311896,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,2,0.2,3,22,4,0.6379310344827587,0.7193816884661117,0.23316127010221313,0.16616625508746322,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,2,0.2,4,22,4,0.5,0.6480380499405469,0.475938476979865,0.47862146561368846,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,2,0.2,5,22,4,0.5,0.539833531510107,0.4999918854325518,0.49999205680724534,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,2,0.2,6,22,4,0.5,0.6801426872770511,0.49877305230548513,0.4989867734760884,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,2,0.2,7,22,4,0.7413793103448276,0.8787158145065398,0.18268501912894983,0.18410335245086953,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,2,0.2,8,22,4,0.5,0.7621878715814506,0.48245018416041363,0.4898680393873373,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,2,0.2,9,22,4,0.5,0.61474435196195,0.48518665993456334,0.48824195922271285,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,2,0.3,0,22,7,0.6896551724137931,0.7217598097502974,0.2160601479312248,0.12313172640371114,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,2,0.3,1,22,7,0.5517241379310345,0.7752675386444708,0.24249434291375374,0.21418781548428326,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,2,0.3,2,22,7,0.5,0.8335315101070155,0.49998691141678847,0.49999291283099656,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,2,0.3,3,22,7,0.5,0.6361474435196195,0.49997495556864474,0.4999813938905209,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,2,0.3,4,22,7,0.5,0.6730083234244947,0.49985846804614753,0.4998780944813622,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,2,0.3,5,22,7,0.603448275862069,0.8109393579072532,0.25329412043257,0.252059970840263,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,2,0.3,6,22,7,0.5862068965517242,0.6896551724137931,0.22020217004049647,0.14369940770717693,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,2,0.3,7,22,7,0.5,0.7348394768133175,0.4999798040212398,0.49998578355091594,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,2,0.3,8,22,7,0.5,0.7003567181926279,0.49120479680563167,0.4935457833058746,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,2,0.3,9,22,7,0.5,0.6278240190249702,0.49996305729149826,0.49997645751767716,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,2,0.5,0,22,11,0.5,0.6159334126040428,0.49771780965522905,0.49779923797265374,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,2,0.5,1,22,11,0.5,0.40071343638525564,0.49999955205150404,0.4999995259771676,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,2,0.5,2,22,11,0.5,0.5303210463733651,0.4121486009497577,0.41164040792982964,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,2,0.5,3,22,11,0.5,0.6313912009512486,0.49909508548376,0.4992608834443637,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,2,0.5,4,22,11,0.5,0.6670630202140309,0.4828382844908158,0.48521530967293786,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,2,0.5,5,22,11,0.5,0.78359096313912,0.49999999936315465,0.49999999949232987,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,2,0.5,6,22,11,0.6551724137931034,0.6979785969084423,0.2330279839663707,0.1811503110681673,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,2,0.5,7,22,11,0.5,0.6658739595719382,0.49952564267481747,0.49967603514261183,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,2,0.5,8,22,11,0.5,0.6932223543400714,0.49759192053699136,0.4982544979505313,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,2,0.5,9,22,11,0.5,0.6753864447086803,0.4999371414353583,0.499949613172162,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
