dataset,subject,pipeline,stressor,montage,fold,dropout_fraction,repeat,n_channels,n_dropped_channels,balanced_accuracy,roc_auc,brier_score,ece,selected_channels,region,dropped_channels,session_train,session_test
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,4,0.1,5,22,2,0.7241379310344828,0.9642857142857142,0.17800811842372388,0.26046812212436876,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,4,0.1,6,22,2,0.7142857142857143,0.9458128078817734,0.2000012572765989,0.24427856096667838,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,4,0.1,7,22,2,0.8220443349753694,0.9408866995073891,0.11954576788857067,0.1170338084805392,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,4,0.1,8,22,2,0.8577586206896552,0.9445812807881773,0.11097108066538475,0.16263098177321933,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,4,0.1,9,22,2,0.5178571428571429,0.9285714285714286,0.40894352320086974,0.43806397490190063,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,4,0.2,0,22,4,0.5,0.8928571428571429,0.4446600328474666,0.46208676040879937,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,4,0.2,1,22,4,0.5,0.9408866995073892,0.4848761612156433,0.4878424923213468,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,4,0.2,2,22,4,0.5,0.9125615763546797,0.4860070461534026,0.4883050835328584,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,4,0.2,3,22,4,0.6717980295566502,0.9507389162561577,0.1953049528933842,0.24755039360805622,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,4,0.2,4,22,4,0.7758620689655172,0.9532019704433498,0.1338083408663276,0.21476972170918812,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,4,0.2,5,22,4,0.7327586206896552,0.9507389162561577,0.16423911920956621,0.1975375362277141,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,4,0.2,6,22,4,0.7327586206896552,0.9285714285714286,0.16082987072212393,0.18847127952766246,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,4,0.2,7,22,4,0.5535714285714286,0.937192118226601,0.3798551519277354,0.4150694997415914,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,4,0.2,8,22,4,0.8392857142857143,0.9408866995073892,0.13681668723457394,0.15911980154470717,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,4,0.2,9,22,4,0.5714285714285714,0.9408866995073891,0.28503110031443657,0.33920387039447975,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,4,0.3,0,22,7,0.7586206896551724,0.9334975369458127,0.158187019320466,0.2298169352811175,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,4,0.3,1,22,7,0.5,0.8928571428571429,0.4533086180320756,0.46460294838981164,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,4,0.3,2,22,7,0.5,0.9064039408866995,0.44244790505424497,0.46592286138876265,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,4,0.3,3,22,7,0.5,0.8891625615763546,0.49479471927828617,0.4998809723474886,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,4,0.3,4,22,7,0.7068965517241379,0.8620689655172414,0.20432088676782745,0.23653002626182432,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,4,0.3,5,22,7,0.5,0.8854679802955665,0.4912189846976368,0.4912222355795103,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,4,0.3,6,22,7,0.895320197044335,0.938423645320197,0.13077544541146666,0.21202795643774125,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,4,0.3,7,22,7,0.5,0.8497536945812808,0.48808292196294856,0.4888723442317763,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,4,0.3,8,22,7,0.5,0.9162561576354681,0.5027108254807093,0.5052243790268535,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,4,0.3,9,22,7,0.6724137931034483,0.8916256157635467,0.19211757876349145,0.21991570825803267,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,4,0.5,0,22,11,0.5,0.6970443349753694,0.4828253255738007,0.48336939076867025,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,4,0.5,1,22,11,0.5,0.8669950738916257,0.4369526700944849,0.4537452593946981,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,4,0.5,2,22,11,0.5,0.7155172413793103,0.3983371696453314,0.40462598938288197,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,4,0.5,3,22,11,0.5,0.8596059113300493,0.4896568758284948,0.48998036705770276,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,4,0.5,4,22,11,0.5,0.8583743842364532,0.48824504772049576,0.4886356287447563,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,4,0.5,5,22,11,0.5178571428571429,0.8706896551724137,0.24103692976030103,0.2107682014327929,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,4,0.5,6,22,11,0.5,0.8238916256157636,0.49028661872338036,0.4903961311078874,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,4,0.5,7,22,11,0.5,0.8214285714285715,0.4912264304620824,0.49122678423958255,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,4,0.5,8,22,11,0.5172413793103449,0.8645320197044335,0.28168408801790484,0.286522226440248,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,4,0.5,9,22,11,0.5172413793103449,0.9039408866995073,0.24744966455867082,0.2852665871545082,,,,,
BNCI2014-001,1,riemann_lr,clean,all_channels,5,0.0,0,22,0,0.9304187192118227,0.9889162561576355,0.06267584050038595,0.13946459436692926,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,5,0.1,0,22,2,0.8392857142857143,0.9667487684729065,0.13572791743572332,0.2052343890571344,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,5,0.1,1,22,2,0.5,0.9716748768472907,0.472189160087372,0.4875825609425006,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,5,0.1,2,22,2,0.5,0.9605911330049262,0.4944767461321216,0.5008973041012744,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,5,0.1,3,22,2,0.6551724137931034,0.9889162561576355,0.22556063764475015,0.2963170922806018,,,,,
