dataset,subject,pipeline,stressor,montage,dropout_fraction,region,roc_auc,balanced_accuracy,brier_score,ece,n_channels,n_dropped_channels
PhysionetMotorImagery,17,riemann_lr,channel_dropout,all_channels,0.1,,0.371,0.485,0.3542799103623906,0.3540403905912446,64,6.0
PhysionetMotorImagery,17,riemann_lr,channel_dropout,all_channels,0.2,,0.321,0.48950000000000005,0.39475936768700026,0.36997545183281305,64,13.0
PhysionetMotorImagery,17,riemann_lr,channel_dropout,all_channels,0.3,,0.35100000000000003,0.4855,0.38521023155760953,0.3602298733460956,64,19.0
PhysionetMotorImagery,17,riemann_lr,channel_dropout,all_channels,0.5,,0.314,0.483,0.3923537497999313,0.38042363650059124,64,32.0
PhysionetMotorImagery,17,riemann_lr,clean,all_channels,0.0,,0.42000000000000004,0.38,0.3129159633753807,0.34478353046324217,64,0.0
PhysionetMotorImagery,17,riemann_lr,reduced_montage,motor_core,0.0,,0.37,0.45,0.26807679520630817,0.15588519509366563,3,0.0
PhysionetMotorImagery,17,riemann_lr,reduced_montage,motor_extended,0.0,,0.35,0.385,0.28890937490778723,0.2744895035994394,9,0.0
PhysionetMotorImagery,17,riemann_lr,region_dropout,all_channels,0.046875,midline_motor_strip,0.39,0.48,0.3329540555364949,0.3517696062265931,64,3.0
PhysionetMotorImagery,17,riemann_lr,region_dropout,all_channels,0.140625,left_motor_strip,0.45,0.45499999999999996,0.34686409212781766,0.39119515322235676,64,9.0
PhysionetMotorImagery,17,riemann_lr,region_dropout,all_channels,0.140625,right_motor_strip,0.37,0.43499999999999994,0.34951719090251826,0.3564243034879264,64,9.0
PhysionetMotorImagery,18,riemann_lr,channel_dropout,all_channels,0.1,,0.522,0.502,0.31405697744227035,0.3227746131944069,64,6.0
PhysionetMotorImagery,18,riemann_lr,channel_dropout,all_channels,0.2,,0.523,0.512,0.32891459742170936,0.34054782015847546,64,13.0
PhysionetMotorImagery,18,riemann_lr,channel_dropout,all_channels,0.3,,0.47700000000000004,0.5005,0.31855682574415345,0.2838169066618427,64,19.0
PhysionetMotorImagery,18,riemann_lr,channel_dropout,all_channels,0.5,,0.51,0.5045000000000001,0.3482665038791773,0.3297161497487142,64,32.0
PhysionetMotorImagery,18,riemann_lr,clean,all_channels,0.0,,0.5800000000000001,0.485,0.2607780521047154,0.2731439264894119,64,0.0
PhysionetMotorImagery,18,riemann_lr,reduced_montage,motor_core,0.0,,0.26,0.36,0.26602211450828445,0.2003162955124141,3,0.0
PhysionetMotorImagery,18,riemann_lr,reduced_montage,motor_extended,0.0,,0.35,0.36,0.26920911976097717,0.24638482363455103,9,0.0
PhysionetMotorImagery,18,riemann_lr,region_dropout,all_channels,0.046875,midline_motor_strip,0.54,0.515,0.28046005574751975,0.23306982153751238,64,3.0
PhysionetMotorImagery,18,riemann_lr,region_dropout,all_channels,0.140625,left_motor_strip,0.52,0.525,0.27384604632395504,0.3169945059908289,64,9.0
PhysionetMotorImagery,18,riemann_lr,region_dropout,all_channels,0.140625,right_motor_strip,0.5,0.465,0.2715549241257538,0.20783405426242468,64,9.0
PhysionetMotorImagery,19,riemann_lr,channel_dropout,all_channels,0.1,,0.562,0.49,0.2993468978150138,0.2967640282427647,64,6.0
