subject,condition,roc_auc_csp,roc_auc_riemann,clean_auc_csp,clean_auc_riemann,change_csp,change_riemann,difference_in_degradation_csp_minus_riemann
17,dropout_0.2,0.484,0.3229999999999999,0.48,0.42,0.0040000000000000036,-0.09700000000000009,0.10100000000000009
17,dropout_0.3,0.4465,0.3279999999999999,0.48,0.42,-0.033499999999999974,-0.09200000000000008,0.05850000000000011
17,dropout_0.5,0.439,0.336,0.48,0.42,-0.04099999999999998,-0.08399999999999996,0.04299999999999998
17,motor_core,0.4599999999999999,0.37,0.48,0.42,-0.020000000000000073,-0.04999999999999999,0.029999999999999916
17,motor_extended,0.41,0.35,0.48,0.42,-0.07,-0.07,0.0
17,region_midline_motor_strip,0.48,0.39,0.48,0.42,0.0,-0.02999999999999997,0.02999999999999997
17,region_left_motor_strip,0.38,0.45,0.48,0.42,-0.09999999999999998,0.030000000000000027,-0.13
17,region_right_motor_strip,0.37,0.37,0.48,0.42,-0.10999999999999999,-0.04999999999999999,-0.06
18,dropout_0.1,0.5645,0.52,0.63,0.58,-0.0655,-0.05999999999999994,-0.00550000000000006
18,dropout_0.2,0.5375,0.5269999999999999,0.63,0.58,-0.09250000000000003,-0.05300000000000005,-0.03949999999999998
18,dropout_0.3,0.4955,0.5429999999999999,0.63,0.58,-0.1345,-0.03700000000000003,-0.09749999999999998
18,dropout_0.5,0.519,0.527,0.63,0.58,-0.11099999999999999,-0.052999999999999936,-0.05800000000000005
18,motor_core,0.41,0.2599999999999999,0.63,0.58,-0.22000000000000003,-0.32000000000000006,0.10000000000000003
18,motor_extended,0.31,0.35,0.63,0.58,-0.32,-0.22999999999999998,-0.09000000000000002
18,region_midline_motor_strip,0.58,0.54,0.63,0.58,-0.050000000000000044,-0.039999999999999925,-0.01000000000000012
18,region_left_motor_strip,0.71,0.5199999999999999,0.63,0.58,0.07999999999999996,-0.06000000000000005,0.14
18,region_right_motor_strip,0.7,0.5,0.63,0.58,0.06999999999999995,-0.07999999999999996,0.1499999999999999
19,dropout_0.1,0.4994999999999999,0.539,0.5,0.58,-0.0005000000000001115,-0.040999999999999925,0.040499999999999814
19,dropout_0.2,0.4475,0.505,0.5,0.58,-0.05249999999999999,-0.07499999999999996,0.022499999999999964
19,dropout_0.3,0.4465,0.519,0.5,0.58,-0.05349999999999999,-0.06099999999999994,0.007499999999999951
