dataset,subject,pipeline,stressor,montage,dropout_fraction,roc_auc,balanced_accuracy,brier_score,ece,n_channels,n_dropped_channels
PhysionetMotorImagery,19,riemann_lr,channel_dropout,all_channels,0.1,0.562,0.49,0.2993468978150141,0.2967640282427649,64,6.0
PhysionetMotorImagery,19,riemann_lr,channel_dropout,all_channels,0.2,0.529,0.5185,0.3209416969517804,0.3069259913170252,64,13.0
PhysionetMotorImagery,19,riemann_lr,channel_dropout,all_channels,0.3,0.511,0.4965,0.3359747545040739,0.3227705549040889,64,19.0
PhysionetMotorImagery,19,riemann_lr,channel_dropout,all_channels,0.5,0.528,0.4915,0.3383804683649588,0.3202812259515511,64,32.0
PhysionetMotorImagery,19,riemann_lr,clean,all_channels,0.0,0.58,0.495,0.2588899939311585,0.2468445729581862,64,0.0
PhysionetMotorImagery,19,riemann_lr,reduced_montage,motor_core,0.0,0.78,0.74,0.2074389458146571,0.1931095043160693,3,0.0
PhysionetMotorImagery,19,riemann_lr,reduced_montage,motor_extended,0.0,0.76,0.67,0.2129441139901558,0.2645641389885002,9,0.0
PhysionetMotorImagery,19,riemann_lr,region_dropout,all_channels,0.046875,0.55,0.55,0.2704923067282453,0.2791307913187758,64,3.0
PhysionetMotorImagery,19,riemann_lr,region_dropout,all_channels,0.140625,0.51,0.5125,0.3621396001852389,0.3689058940816523,64,9.0
PhysionetMotorImagery,20,riemann_lr,channel_dropout,all_channels,0.1,0.6629999999999999,0.514,0.3021675311412328,0.3330666024812027,64,6.0
PhysionetMotorImagery,20,riemann_lr,channel_dropout,all_channels,0.2,0.644,0.5,0.3797393345566102,0.3973758162404636,64,13.0
PhysionetMotorImagery,20,riemann_lr,channel_dropout,all_channels,0.3,0.632,0.5025,0.4185607172357919,0.4329195012290877,64,19.0
PhysionetMotorImagery,20,riemann_lr,channel_dropout,all_channels,0.5,0.579,0.5,0.4811373278050388,0.4836765059522708,64,32.0
PhysionetMotorImagery,20,riemann_lr,clean,all_channels,0.0,0.7100000000000001,0.675,0.2342546230218667,0.2645921874558563,64,0.0
PhysionetMotorImagery,20,riemann_lr,reduced_montage,motor_core,0.0,0.43,0.415,0.2668980642813338,0.1563134645509999,3,0.0
PhysionetMotorImagery,20,riemann_lr,reduced_montage,motor_extended,0.0,0.2799999999999999,0.32,0.3113306891380385,0.3393459243804698,9,0.0
PhysionetMotorImagery,20,riemann_lr,region_dropout,all_channels,0.046875,0.72,0.505,0.2851198792163705,0.2704072808384903,64,3.0
PhysionetMotorImagery,20,riemann_lr,region_dropout,all_channels,0.140625,0.805,0.5974999999999999,0.2468848869387304,0.269132962906634,64,9.0
PhysionetMotorImagery,21,riemann_lr,channel_dropout,all_channels,0.1,0.485,0.503,0.3163038199221905,0.3393312558056259,64,6.0
PhysionetMotorImagery,21,riemann_lr,channel_dropout,all_channels,0.2,0.455,0.4915,0.3488875684896086,0.3698782748313569,64,13.0
PhysionetMotorImagery,21,riemann_lr,channel_dropout,all_channels,0.3,0.4429999999999999,0.474,0.3341501171427299,0.3388858490591351,64,19.0
PhysionetMotorImagery,21,riemann_lr,channel_dropout,all_channels,0.5,0.436,0.5045000000000001,0.3716304133184174,0.3655009070472624,64,32.0
PhysionetMotorImagery,21,riemann_lr,clean,all_channels,0.0,0.52,0.53,0.2636059618461367,0.3018178341349987,64,0.0
